TIME_PERIOD#es,TIME_PERIOD_CODE,UNIVERSIDADES#es,UNIVERSIDADES_CODE,SEXO#es,SEXO_CODE,PROCEDIMIENTO_ACCESO#es,PROCEDIMIENTO_ACCESO_CODE,CONVOCATORIA#es,CONVOCATORIA_CODE,MEDIDAS#es,MEDIDAS_CODE,OBS_VALUE,CONFIDENCIALIDAD_OBSERVACION#es,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION_CODE,NOTAS_OBSERVACION#es
2018,2018,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Total,_T,Prueba de acceso para mayores de 25 años,PAU_GT25,Ordinaria,ORDINARIA,Presentados,PRESENTADOS,372,,,,
2018,2018,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Hombres,M,Prueba de acceso para mayores de 25 años,PAU_GT25,Ordinaria,ORDINARIA,Presentados,PRESENTADOS,206,,,,
2018,2018,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Mujeres,F,Prueba de acceso para mayores de 25 años,PAU_GT25,Ordinaria,ORDINARIA,Presentados,PRESENTADOS,166,,,,
2019,2019,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Total,_T,Prueba de acceso para mayores de 25 años,PAU_GT25,Ordinaria,ORDINARIA,Presentados,PRESENTADOS,313,,,,
2019,2019,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Hombres,M,Prueba de acceso para mayores de 25 años,PAU_GT25,Ordinaria,ORDINARIA,Presentados,PRESENTADOS,160,,,,
2019,2019,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Mujeres,F,Prueba de acceso para mayores de 25 años,PAU_GT25,Ordinaria,ORDINARIA,Presentados,PRESENTADOS,153,,,,
2020,2020,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Total,_T,Prueba de acceso para mayores de 25 años,PAU_GT25,Ordinaria,ORDINARIA,Presentados,PRESENTADOS,260,,,,
2020,2020,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Hombres,M,Prueba de acceso para mayores de 25 años,PAU_GT25,Ordinaria,ORDINARIA,Presentados,PRESENTADOS,137,,,,
2020,2020,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Mujeres,F,Prueba de acceso para mayores de 25 años,PAU_GT25,Ordinaria,ORDINARIA,Presentados,PRESENTADOS,123,,,,
2021,2021,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Total,_T,Prueba de acceso para mayores de 25 años,PAU_GT25,Ordinaria,ORDINARIA,Presentados,PRESENTADOS,258,,,,
2021,2021,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Hombres,M,Prueba de acceso para mayores de 25 años,PAU_GT25,Ordinaria,ORDINARIA,Presentados,PRESENTADOS,119,,,,
2021,2021,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Mujeres,F,Prueba de acceso para mayores de 25 años,PAU_GT25,Ordinaria,ORDINARIA,Presentados,PRESENTADOS,139,,,,
2022,2022,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Total,_T,Prueba de acceso para mayores de 25 años,PAU_GT25,Ordinaria,ORDINARIA,Presentados,PRESENTADOS,257,,,,
2022,2022,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Hombres,M,Prueba de acceso para mayores de 25 años,PAU_GT25,Ordinaria,ORDINARIA,Presentados,PRESENTADOS,112,,,,
2022,2022,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Mujeres,F,Prueba de acceso para mayores de 25 años,PAU_GT25,Ordinaria,ORDINARIA,Presentados,PRESENTADOS,145,,,,
2015,2015,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Total,_T,Prueba de acceso para mayores de 25 años,PAU_GT25,Ordinaria,ORDINARIA,Matriculados,MATRICULADOS,1001,,,,
2015,2015,Universidades Públicas,UNIVERSIDADES_PUBLICAS,Hombres,M,Prueba de acceso para mayores de 25 años,PAU_GT25,Ordinaria,ORDINARIA,Matriculados,MATRICULADOS,558,,,,
